Feature ID	Taxon	Consensus	Confidence
04114511320e8901771f498df492c6d4	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii	1	0.984810126582278
042ed159319d7d576e1538b85fa25f1d	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__;s__	1	0.992405063291139
0436e6405b8a49dbd9129e029be9ca12	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gaidropsaridae;g__Gaidropsarus;s__ensis	1	0.992405063291139
0440dbefe70a5e59b25484e9eb5fcbbd	k__Metazoa;p__Chordata;c__Actinopteri;o__Myctophiformes;f__Myctophidae;g__Stenobrachius;s__	1	0.992405063291139
044dd284fc4a50cfda88e3ea6fbe8fe5	k__Metazoa;p__Chordata;c__Actinopteri;o__Uranoscopiformes;f__Ammodytidae;g__Ammodytes;s__personatus	1	0.992405063291139
046b4d067234901840ba174ff001aad0	k__Metazoa;p__Chordata;c__Actinopteri;o__Scombriformes;f__Centrolophidae;g__Icichthys;s__lockingtoni	1	1
0476cac4229154aa6aceb8181e172afb	k__Metazoa;p__Chordata;c__Aves;o__Charadriiformes;f__Laridae;g__Xema;s__sabini	1	0.988607594936709
0485e0c7587c61c489e0588eb41bf59e	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Salangidae;g__Mallotus;s__villosus	1	0.992405063291139
048c9c5c8d1b7f6479b1041edd04f030	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Salangidae;g__Mallotus;s__villosus	1	0.981012658227848
04d1c48bcc8e00a301031faef06d3935	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Clinocottus;s__acuticeps	1	1
04d75f969910b04ece88e7ef23fecd00	k__Metazoa;p__Chordata;c__Actinopteri;o__Myctophiformes;f__Myctophidae;g__Stenobrachius;s__	1	0.992405063291139
04eb20abd6ef94d69a9a6f627c4e01dc	k__Metazoa;p__Chordata;c__Actinopteri;o__Myctophiformes;f__Myctophidae;g__Stenobrachius;s__	1	1
04fa19e0f152f19fb52554975527b5ed	Unassigned	1	0.7
05150facd48f66adc917552667593378	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii	1	1
0515d1f57dbb0e4a48df5a2b68cdbf9d	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Merlucciidae;g__Merluccius;s__bilinearis	1	0.992405063291139
051be1343dc38ff333f302734428c366	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__	1	0.992405063291139
052d1f9e46c1bc31913ba22ee4e9ae5e	Unassigned	1	0.7
053ad90187a488d774fe98c7faa43021	k__Metazoa;p__Chordata;c__Aves;o__Charadriiformes;f__Laridae;g__Rissa;s__tridactyla	1	0.992405063291139
05485356a61597fb4ca19b119a7a6d63	Unassigned	1	0.7
055b050b936ffab73f9bfc85b4ec69f2	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii	1	0.992405063291139
055fc198dc4551d4e94da18be189e01c	k__Metazoa;p__Chordata;c__Aves;o__Charadriiformes;f__Laridae;g__Rissa;s__tridactyla	1	1
0561cfa0895b46357ae22472e1b9d0fc	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Salangidae;g__Mallotus;s__villosus	1	1
0572adb9b78e5935fa021b19c37f2371	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Oligocottus;s__snyderi	1	1
05743cd8a364be7fae07a3ac49bf54ab	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Salangidae;g__Mallotus;s__villosus	1	0.992405063291139
0581d99f560dc879b0b8ef6bc0c415e7	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__	1	0.992405063291139
05824485d5338975993a81327eb34a0c	k__Metazoa;p__Chordata;c__Aves;o__Charadriiformes;f__Alcidae;g__Fratercula;s__cirrhata	1	0.988607594936709
058b0220000bae7545b66015d1396a8f	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Zaproridae;g__Zaprora;s__silenus	1	0.992405063291139
058e2b01e57a5fcd78c362a6ce4a2948	k__Metazoa;p__Chordata;c__Aves;o__Charadriiformes;f__Alcidae;g__Fratercula;s__cirrhata	1	1
05a342103976c4ac656e7d23d1243d01	k__Metazoa;p__Chordata;c__Aves;o__Charadriiformes;f__Laridae;g__Rissa;s__tridactyla	1	0.969620253164557
05bd9b5534f9f22cf34bcdff39787f7e	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii	1	0.992405063291139
05df7b856024e214c9c11cedd04ed263	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__	1	0.984810126582278
05f000e876a97a49d850af299e67691d	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii	1	0.984810126582278
0609b52c756297a4484c88938a2ba23f	k__Metazoa;p__Chordata;c__Aves;o__Charadriiformes;f__Laridae;g__Rissa;s__tridactyla	1	0.992405063291139
065beb307f2e08eee86084c5dad7c097	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__	1	0.977215189873418
0662340caf6d8a82f962d22a3fe71d54	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__;s__	1	0.992405063291139
